Question,Answer,Category,keywords,lastupdated
What was the MEMAN Competency Centre event about?,"The MEMAN Competency Centre, in collaboration with Yabatech, hosted a Youth Enlightenment Program themed 'Empowering the Future: MEMAN Youth Energy & Career Engagement'.",News,"was, meman, competency, centre, event, about, collaboration, yabatech, hosted, youth",2026-06-16
Is there an extension for the change of course for the 2024/2025 session?,"Yes, on June 25, 2025, an extension was announced for candidates who applied for the 2024/2025 National Diploma (ND) to change their course.",Admissions,"there, extension, change, course, 2024, 2025, session, yes, june, was",2026-06-16
Has the supplementary list for HND Full-Time for the 2024/2025 session been released?,"Yes, the management announced the release of the Supplementary Admission List for HND Full-Time programmes for the 2024/2025 academic session on June 5, 2025.",Admissions,"has, supplementary, list, hnd, full, time, 2024, 2025, session, been",2026-06-16
What is the name of the Rector of Yabatech?,The Rector is Dr. Engr. Ibraheem Adedotun Abdul.,Administration,"name, rector, yabatech, engr, ibraheem, adedotun, abdul, administration",2026-06-16
What is the slogan of Yabatech mentioned in the video documentary title?,The slogan is 'YABATECH THE FIRST AND STILL THE BEST'.,General,"slogan, yabatech, mentioned, video, documentary, title, first, still, best, general",2026-06-16
What recent foundation support is Yabatech seeking?,"On August 18, 2025, it was reported that Yabatech is seeking Ford Foundation support for a proposed Girl Child Enterprise and Innovation Hub.",News,"recent, foundation, support, yabatech, seeking, august, 2025, was, reported, that",2026-06-16
What is the partnership between Yabatech and CIG about?,"Yabatech and CIG strengthened their partnership, resulting in sponsored students in China winning N3M in scholarships, as reported on August 11, 2025.",Partnerships,"partnership, between, yabatech, cig, about, strengthened, their, resulting, sponsored, students",2026-06-16
Was the first semester examination for 2024/2025 postponed?,"Yes, a notice of postponement for the first semester 2024/2025 full-time examination was issued on August 6, 2025.",Academics,"was, first, semester, examination, 2024, 2025, postponed, yes, notice, postponement",2026-06-16
What recent collaboration did Yabatech have with UNICEF?,"On August 6, 2025, it was announced that Yabatech and UNICEF empowered 200 girls with skills, global certification, and startup toolkits.",Partnerships,"recent, collaboration, did, yabatech, have, unicef, august, 2025, was, announced",2026-06-16
How many students were matriculated recently at Yabatech?,"Yabatech recently matriculated 12,000 students, as reported on August 6, 2025.",News,"many, students, were, matriculated, recently, yabatech, 000, reported, august, 2025",2026-06-16
What is the name of the new centre created by the Yabatech Council?,The Yabatech Council created a Centre for Peace and Conflict Resolution.,Units,"name, new, centre, created, yabatech, council, peace, conflict, resolution, units",2026-06-16
What did the Yabatech Rector say about global visibility?,"On July 16, 2025, the Rector called for global visibility through quality research and publication.",Academics,"did, yabatech, rector, say, about, global, visibility, july, 2025, called",2026-06-16
What is the proposed new name for Yabatech?,The Rector gave justifications for renaming it to 'Yaba Technical and Vocational University' to maintain the acronym.,General,"proposed, new, name, yabatech, rector, gave, justifications, renaming, yaba, technical",2026-06-16
Is Yabatech planning to open a Centre of Excellence in Optometry?,"Yes, it was announced on July 11, 2025, that Yabatech is set to open a Centre of Excellence in Optometry.",Academics,"yabatech, planning, open, centre, excellence, optometry, yes, was, announced, july",2026-06-16
What did the ICPC do at Yabatech recently?,"On July 11, 2025, the ICPC inaugurated the Yabatech Anti-Corruption Unit.",Units,"did, icpc, yabatech, recently, july, 2025, inaugurated, anti, corruption, unit",2026-06-16
How many retirees were recently sent forth by Yabatech?,"Yabatech sent forth 80 retirees, as reported on July 11, 2025.",News,"many, retirees, were, recently, sent, forth, yabatech, reported, july, 2025",2026-06-16
What was the theme of the MEMAN Competency Centre Youth Enlightenment Program?,The theme was “Empowering the Future: MEMAN Youth Energy & Career Engagement”.,Events,"was, theme, meman, competency, centre, youth, enlightenment, program, empowering, future",2026-06-16
Who won the recent Accountancy Quiz Competition?,"Yabatech HND students won the Accountancy Quiz Competition, reported on May 30, 2025.",Students,"won, recent, accountancy, quiz, competition, yabatech, hnd, students, reported, may",2026-06-16
What award did Yabatech receive from ICAN in 2025?,"Yabatech received the 2025 ICAN Corporate Merit Award on May 19, 2025.",Awards,"award, did, yabatech, receive, ican, 2025, received, corporate, merit, may",2026-06-16
What did TETFUND say about Yabatech's project execution?,"On May 16, 2025, TETFUND scored Yabatech high on project execution and commissioned a Workplace Learning Hub.",Partnerships,"did, tetfund, say, about, yabatech, project, execution, may, 2025, scored",2026-06-16
How many staff members were recently appreciated with service awards?,"Yabatech appreciated 150 staff with distinguished service awards, as reported on May 16, 2025.",Staff,"many, staff, members, were, recently, appreciated, service, awards, yabatech, 150",2026-06-16
How did Yabatech perform at the 22nd NIPOGA?,Yabatech emerged as the 2nd Overall Best at the 22nd NIPOGA in Offa.,Sports,"did, yabatech, perform, 22nd, nipoga, emerged, 2nd, overall, best, offa",2026-06-16
What did the French Embassy laud Yabatech for?,"On May 15, 2025, the French Embassy lauded Yabatech's research strides on the Plastogas Hub.",Research,"did, french, embassy, laud, yabatech, may, 2025, lauded, research, strides",2026-06-16
What is the nature of the pact between the University of Kwazulu-Natal and Yabatech?,The University of Kwazulu-Natal is set to sign a pact with Yabatech on Postgraduate (PG) programs.,Partnerships,"nature, pact, between, university, kwazulu, natal, yabatech, set, sign, postgraduate",2026-06-16
What was donated to Yabatech by Interswitch?,Interswitch donated N45M worth of ICT equipment to Yabatech to enhance digital education.,Donations,"was, donated, yabatech, interswitch, n45m, worth, ict, equipment, enhance, digital",2026-06-16
What award did Yabatech win in Lagos related to tourism?,"Yabatech won the Best Tertiary Tourism Institution Award in Lagos, reported on May 13, 2025.",Awards,"award, did, yabatech, win, lagos, related, tourism, won, best, tertiary",2026-06-16
What was the title of the 17th Inaugural Lecture?,"The title was 'CAPACITANCE OF ARTIFICIAL INTELLIGENCE: COMMUNICATION, FRAMING AND LEARNING IN A GROWING ECONOMY'.",Events,"was, title, 17th, inaugural, lecture, capacitance, artificial, intelligence, communication, framing",2026-06-16
Did President Tinubu approve the conversion of Yabatech to a university?,"Yes, on February 15, 2025, it was announced that President Tinubu approved the conversion of Yabatech to a university.",General,"did, president, tinubu, approve, conversion, yabatech, university, yes, february, 2025",2026-06-16
What is the application deadline for the Post UTME for 2024/2025?,"The Post UTME for 2024/2025 closed on December 16, 2024.",Admissions,"application, deadline, post, utme, 2024, 2025, closed, december, admissions",2026-06-16
"Who were the new Registrar and Bursar appointed on December 12, 2024?","The Governing Council appointed a new Registrar and Bursar on December 12, 2024.",Administration,"were, new, registrar, bursar, appointed, december, 2024, governing, council, administration",2026-06-16
What was the value of the First Lady's endowment fund for the best female student?,"The First Lady, Remi Tinubu, provided a N50m Endowment Fund for Yabatech's best female student.",Donations,"was, value, first, lady, endowment, fund, best, female, student, remi",2026-06-16
How many students graduated at the 36th Convocation Ceremony?,"8,139 students graduated at the 36th Convocation Ceremony, with 316 bagging distinctions.",Events,"many, students, graduated, 36th, convocation, ceremony, 139, 316, bagging, distinctions",2026-06-16
When was the Post-UTME screening for the 2024/2025 admission exercise?,"The Post-UTME screening for the 2024/2025 admission exercise was announced on October 17, 2024.",Admissions,"was, post, utme, screening, 2024, 2025, admission, exercise, announced, october",2026-06-16
Has the part-time admission list been released?,"The release of the part-time admission list was announced on October 11, 2024.",Admissions,"has, part, time, admission, list, been, released, release, was, announced",2026-06-16
What is the status of the Yabatech radio station?,"The college has a functioning radio station, YCT RADIO 89.3FM.",General,"status, yabatech, radio, station, college, has, functioning, yct, 3fm, general",2026-06-16
What is the student population of Yabatech?,"The student population, including full-time and part-time students, is in the range of 15,000.",General,"student, population, yabatech, including, full, time, part, students, range, 000",2026-06-16
How many accredited programmes does Yabatech have?,"The College has seventy accredited programmes across ND, HND and Post-HND levels.",Academics,"many, accredited, programmes, yabatech, have, college, has, seventy, across, hnd",2026-06-16
What B.Sc. (Ed) courses does Yabatech offer?,"Yabatech offers B.Sc. (Ed) courses in Technical & Vocational Education in conjunction with the University of Nigeria, Nsukka, and Federal University of Oye-Ekiti.",Academics,"courses, yabatech, offer, offers, technical, vocational, education, conjunction, university, nigeria",2026-06-16
What is ARTI?,"ARTI stands for the Applied Research and Technology Innovation Unit, established to promote research and linkages with the private sector.",Units,"arti, stands, applied, research, technology, innovation, unit, established, promote, linkages",2026-06-16
Who was the first indigenous Principal of the institution?,Dr. E.A Akinleye was the Principal from 1970-1975.,History,"was, first, indigenous, principal, institution, akinleye, 1970, 1975, history",2026-06-16
Who was the Rector from 1975-1985?,Mr. G.M Okufi was the Rector from 1975-1985.,History,"was, rector, 1975, 1985, okufi, history",2026-06-16
Who was the Rector from 1985-1993?,Dr. Philip Adegbile was the Rector from 1985-1993.,History,"was, rector, 1985, 1993, philip, adegbile, history",2026-06-16
Who was the Rector from 1993-2001?,Mrs. F.A Odugbesan was the Rector from 1993-2001.,History,"was, rector, 1993, 2001, mrs, odugbesan, history",2026-06-16
Who was the Rector from 2001-2009?,Mr. Olubunmi Owoso was the Rector from 2001-2009.,History,"was, rector, 2001, 2009, olubunmi, owoso, history",2026-06-16
Who was the Rector from 2009-2017?,Dr. (Mrs) M.K Ladipo was the Rector from 2009-2017.,History,"was, rector, 2009, 2017, mrs, ladipo, history",2026-06-16
Who was the Rector from 2018-2023?,Engr. O.O Omokungbe was the Rector from 2018 to 2023.,History,"was, rector, 2018, 2023, engr, omokungbe, history",2026-06-16
What is the purpose of the Quality Assurance Unit?,The Quality Assurance Unit monitors the quality of academic service delivery.,Units,"purpose, quality, assurance, unit, monitors, academic, service, delivery, units",2026-06-16
Are there compulsory entrepreneurship courses at Yabatech?,"Yes, the Centre for Entrepreneurship Development offers compulsory courses that all students must take.",Academics,"there, compulsory, entrepreneurship, courses, yabatech, yes, centre, development, offers, that",2026-06-16
"What partnership was announced on Dec 19, 2024, with Friesland Campina Wamco?",Yabatech and Friesland Campina Wamco forged a strategic partnership with a new MoU.,Partnerships,"partnership, was, announced, dec, 2024, friesland, campina, wamco, yabatech, forged",2026-06-16
How many girls were empowered by the Yabatech and UNICEF collaboration?,"200 girls were empowered with skills, global certification, and startup toolkits.",News,"many, girls, were, empowered, yabatech, unicef, collaboration, 200, skills, global",2026-06-16
What is the college's stance on indecent dressing?,"The college frowns at indecent dressing, as mentioned during the matriculation of 12,000 students.",Students,"college, stance, indecent, dressing, frowns, mentioned, during, matriculation, 000, students",2026-06-16
What is the status of the student loan application process?,"A notice about the Nelfund Application Process was posted on August 28, 2024.",Students,"status, student, loan, application, process, notice, about, nelfund, was, posted",2026-06-16
Has Yabatech secured any grants for girls' education?,"Yes, on May 20, 2024, it was announced that Yabatech secured a 1.5 Billion Naira grant for a Girls Education and Skills Partnership.",Grants,"has, yabatech, secured, any, grants, girls, education, yes, may, 2024",2026-06-16
What is the name of the Rector's public lecture for his 365 days in office?,The public lecture was titled 'RECTOR 365 DAYS IN OFFICE PUBLIC LECTURE'.,Events,"name, rector, public, lecture, his, 365, days, office, was, titled",2026-06-16
What is the partnership with the UK for girls' education about?,"The UK partnered with Yabatech to promote a girls' education skills program, reported on Feb 26, 2024.",Partnerships,"partnership, girls, education, about, partnered, yabatech, promote, skills, program, reported",2026-06-16
How many Yabatech students are on an exchange program scholarship in China?,30 Yabatech students are set to study in China on an exchange program scholarship.,Students,"many, yabatech, students, exchange, program, scholarship, china, set, study",2026-06-16
What new hub is Yabatech planning to float?,Yabatech is set to float an Artificial Intelligence & Robotics Hub.,Academics,"new, hub, yabatech, planning, float, set, artificial, intelligence, robotics, academics",2026-06-16
What was the outcome of the YASUG 2024 Election?,"The results for the YASUG 2024 Election were posted, including the list of qualified aspirants and voters.",Students,"was, outcome, yasug, 2024, election, results, were, posted, including, list",2026-06-16
How much did TETFUND NRF grant Yabatech researchers for prostate cancer treatment?,TETFUND NRF granted Yabatech researchers N34 million for prostate cancer treatment.,Research,"much, did, tetfund, nrf, grant, yabatech, researchers, prostate, cancer, treatment",2026-06-16
"Who is the acting Registrar appointed on Feb 7, 2024?",FG appointed Dr. Emmanuel Akinwale as Yabatech Acting Registrar.,Administration,"acting, registrar, appointed, feb, 2024, emmanuel, akinwale, yabatech, administration",2026-06-16
"Who is the acting Bursar appointed on Dec 13, 2023?",FG appointed Hassan Kolawole as Yabatech Acting Bursar.,Administration,"acting, bursar, appointed, dec, 2023, hassan, kolawole, yabatech, administration",2026-06-16
How does Yabatech preserve cultural heritage?,"Yabatech unveiled a Gelede Mask to preserve cultural heritage on Dec 13, 2023.",Events,"yabatech, preserve, cultural, heritage, unveiled, gelede, mask, dec, 2023, events",2026-06-16
What is the college doing about Artificial Intelligence training?,"Yabatech is set to train staff on Artificial Intelligence, as announced on Dec 13, 2023.",Staff,"college, doing, about, artificial, intelligence, training, yabatech, set, train, staff",2026-06-16
What was the result of the NBC Technical Training Placement request?,"A request was made for ND/HND graduates of Yabatech for the NBC Technical Training Placement on Nov 18, 2023.",Careers,"was, result, nbc, technical, training, placement, request, made, hnd, graduates",2026-06-16
What is the Hult Prize?,"Yabatech advanced to the regional finals of the 9th Annual Hult Prize, a competition for student social entrepreneurs.",Events,"hult, prize, yabatech, advanced, regional, finals, 9th, annual, competition, student",2026-06-16
What did the Senate Committee do at Yabatech?,"The Senate Committee visited Yabatech on Dec 17, 2018.",Events,"did, senate, committee, yabatech, visited, dec, 2018, events",2026-06-16
Who are the new Deputy Rectors appointed in October 2018?,Osifala and Ukabam were appointed as new Yabatech Deputy Rectors in October 2018.,Administration,"new, deputy, rectors, appointed, october, 2018, osifala, ukabam, were, yabatech",2026-06-16
What is the relationship between Yabatech and China on vocational education?,"China is eyeing a partnership with Yabatech on vocational education, as reported in Sep 2018.",Partnerships,"relationship, between, yabatech, china, vocational, education, eyeing, partnership, reported, sep",2026-06-16
Has the Bsc/Hnd disparity been addressed?,The Yabatech Rector sought full implementation of the removal of the Bsc/Hnd disparity in August 2018.,Academics,"has, bsc, hnd, disparity, been, addressed, yabatech, rector, sought, full",2026-06-16
Does Yabatech offer skill acquisition courses?,"Yes, Yabatech now offers certification in Skill Acquisition courses.",Academics,"yabatech, offer, skill, acquisition, courses, yes, now, offers, certification, academics",2026-06-16
What is the ReadySetWork project?,Yabatech partnered with the Lagos State Government on the ReadySetWork project to prepare students for the workplace.,Partnerships,"readysetwork, project, yabatech, partnered, lagos, state, government, prepare, students, workplace",2026-06-16
How many students were matriculated in June 2018?,"Yabatech matriculated 14,912 students in June 2018.",Events,"many, students, were, matriculated, june, 2018, yabatech, 912, events",2026-06-16
Who is the Bursar of Yabatech?,The website lists a Bursar in the administration section.,Administration,"bursar, yabatech, website, lists, administration, section",2026-06-16
Who is the Polytechnic Librarian?,The website lists a Polytechnic Librarian in the administration section.,Administration,"polytechnic, librarian, website, lists, administration, section",2026-06-16
Where can I find TETFund information?,Information about TETFund projects and interventions is available on the website under the 'TETFund' section.,Units,"find, tetfund, information, about, projects, interventions, available, website, under, section",2026-06-16
What are the schools available at Yabatech?,"The schools are: Art, Design And Printing; Engineering; Environmental Studies; Liberal Studies; Management And Business Studies; Science; Technical Education; and Technology.",Academics,"schools, available, yabatech, art, design, printing, engineering, environmental, studies, liberal",2026-06-16
What types of programmes are offered?,"The college offers Weekend Programmes, Weekday/Evening Programmes, and Flexible Skills programmes.",Academics,"types, programmes, offered, college, offers, weekend, weekday, evening, flexible, skills",2026-06-16
What is the YCT E-Learning Portal?,It is the portal for Yabatech's e-learning students and resources.,Students,"yct, learning, portal, yabatech, students, resources",2026-06-16
Where can students find the academic calendar and handbook?,The Calendars and Handbook are available for download under the 'Students' section.,Students,"students, find, academic, calendar, handbook, calendars, available, download, under, section",2026-06-16
What is the Anti-Corruption and Transparency Unit?,It is a service unit within the college to promote transparency and fight corruption.,Units,"anti, corruption, transparency, unit, service, within, college, promote, fight, units",2026-06-16
What is CITM?,"CITM stands for the Centre For Information Technology and Management, a key service unit.",Units,"citm, stands, centre, information, technology, management, key, service, unit, units",2026-06-16
What medical services are available?,The college has a Medical Services unit for students and staff.,Units,"medical, services, available, college, has, unit, students, staff, units",2026-06-16
What is SERVICOM?,SERVICOM (Service Compact with all Nigerians) is a service unit to ensure effective service delivery.,Units,"servicom, service, compact, all, nigerians, unit, ensure, effective, delivery, units",2026-06-16
What is SIWES?,"SIWES stands for the Student Industrial Work Experience Scheme, a unit that manages student internships.",Units,"siwes, stands, student, industrial, work, experience, scheme, unit, that, manages",2026-06-16
What is the Academic Planning Unit?,It is an academic unit responsible for planning and structuring academic programmes.,Units,"academic, planning, unit, responsible, structuring, programmes, units",2026-06-16
What does the Centre for Entrepreneurship Development do?,It's an academic unit that fosters entrepreneurial skills among students.,Units,"centre, entrepreneurship, development, academic, unit, that, fosters, entrepreneurial, skills, among",2026-06-16
What does the Internal Quality Assurance unit do?,This academic unit ensures that the quality of education and services meets set standards.,Units,"internal, quality, assurance, unit, this, academic, ensures, that, education, services",2026-06-16
What departments are under the Registry?,"The Registry includes departments like Academic Board Matters, Admissions, Alumni Relations, Council Affairs, Epe Campus, Examination Matters, etc.",Administration,"departments, under, registry, includes, like, academic, board, matters, admissions, alumni",2026-06-16
What departments are under the Bursary?,"The Bursary includes departments like Budget & Expenditure, Final Accounts, Fixed Assets, Loans and Advances, Staff Accounts, Students Account, etc.",Administration,"departments, under, bursary, includes, like, budget, expenditure, final, accounts, fixed",2026-06-16
What services does Yabatech Consult Limited offer?,"They offer services like Skill Acquisition, Facility management, Asset management, Seminars & conferences, Advert services, and Consultancy services.",Enterprise,"services, yabatech, consult, limited, offer, they, like, skill, acquisition, facility",2026-06-16
How can I confirm a statement of result?,There is a portal to 'Confirm statement of result' under the Alumni section.,Alumni,"confirm, statement, result, there, portal, under, alumni, section",2026-06-16
What information is available for staff on the website?,"The staff section has links to the Staff List, Staff Portal, Staff Aper Forms, E-learning, Staff Email, and Staff Accommodation.",Staff,"information, available, staff, website, section, has, links, list, portal, aper",2026-06-16
How can I contact Yabatech for health and safety concerns?,The contact page has a section for Health & Safety inquiries.,Contact,"contact, yabatech, health, safety, concerns, page, has, section, inquiries",2026-06-16
Where can I find the college sitemap?,A sitemap is available in the footer of the website for easy navigation.,General,"find, college, sitemap, available, footer, website, easy, navigation, general",2026-06-16
"What was the announcement on Aug 16, 2025, about?",It was to inform all full-time students that the printing of dockets for the 2024/2025 first semester examinations is now open.,News,"was, announcement, aug, 2025, about, inform, all, full, time, students",2026-06-16
What was the Yabatech Staff Schools event about?,"The Yabatech Staff Schools launched a Tech Hub and honoured the Rector, as reported on July 16, 2025.",News,"was, yabatech, staff, schools, event, about, launched, tech, hub, honoured",2026-06-16
What was the 2025 Matriculation Ceremony about?,"A news post on July 16, 2025, announced the 2025 Matriculation Ceremony.",Events,"was, 2025, matriculation, ceremony, about, news, post, july, announced, events",2026-06-16
Why does NAPS support Yabatech's transformation?,"NAPS backs Yabatech's transformation to a TVET Varsity, as reported on July 11, 2025.",News,"naps, support, yabatech, transformation, backs, tvet, varsity, reported, july, 2025",2026-06-16
What did a Yabatech Don say about data and statistics?,"On July 11, 2025, a Yabatech Don called on the FG to use data and statistics to solve national problems.",News,"did, yabatech, don, say, about, data, statistics, july, 2025, called",2026-06-16
What was the MEMAN Competency Centre program for youth about?,"It was a youth enlightenment program focused on energy and career engagement, reported on June 27, 2025.",Events,"was, meman, competency, centre, program, youth, about, enlightenment, focused, energy",2026-06-16
When does the screening for newly admitted HND1 Part Time candidates for 2025/2026 commence?,"The commencement of the 2025/2026 screening and registration for newly admitted HND1 Part Time candidates was announced on July 22, 2025.",Admissions,"screening, newly, admitted, hnd1, part, time, candidates, 2025, 2026, commence",2026-06-16
"What lecture series did Yabatech institute on June 10, 2025?",Yabatech instituted the Folawiyo Lecture Series.,Events,"lecture, series, did, yabatech, institute, june, 2025, instituted, folawiyo, events",2026-06-16
What was the Folawiyo Entrepreneurship Centre's first competition?,"It was the maiden Business Idea Competition, announced on June 1, 2025.",Events,"was, folawiyo, entrepreneurship, centre, first, competition, maiden, business, idea, announced",2026-06-16
What is the Rector's message to staff as he begins his third year in office?,"On May 26, 2025, the Rector charged staff to demonstrate a high level of professionalism.",Staff,"rector, message, staff, begins, his, third, year, office, may, 2025",2026-06-16
What is the management's statement on illegal deduction of student loans?,"On May 16, 2025, the management stated that Yabatech is not embroiled in the illegal deduction of student loans.",Students,"management, statement, illegal, deduction, student, loans, may, 2025, stated, that",2026-06-16
What was the outcome of the partnership with Royal FrieslandCampina?,The CEO of Royal FrieslandCampina described Yabatech as a fertile ground for industry partnership and a model for nurturing talents.,Partnerships,"was, outcome, partnership, royal, frieslandcampina, ceo, described, yabatech, fertile, ground",2026-06-16
What is the status of the transformation of Yabatech to a university?,"A report on May 16, 2025, stated that Yabatech is set for transformation into Yaba Federal University of Technology and Vocational Studies.",General,"status, transformation, yabatech, university, report, may, 2025, stated, that, set",2026-06-16
What was the focus of the 4th Annual TPL (DR) Abubakar Mobolaji Olaseni Lecture?,The lecture focused on the poor preservation of Nigeria's cultural heritage.,Events,"was, focus, 4th, annual, tpl, abubakar, mobolaji, olaseni, lecture, focused",2026-06-16
What partnership was formed to train teachers at government skill centers?,Yabatech partnered with the FG to train teachers and instructors at Government Skills Technical Centers and Vocational Education Institutions.,Partnerships,"partnership, was, formed, train, teachers, government, skill, centers, yabatech, partnered",2026-06-16
What was the CareerLeap Series 1 about?,"It was an Industry and Academia Engagement Session, announced on April 22, 2025.",Events,"was, careerleap, series, about, industry, academia, engagement, session, announced, april",2026-06-16
What is the notice to all HND Full Time applicants for the 2024/2025 session?,"A final notice was issued to candidates who chose Yabatech as their first choice for the 2024/2025 academic session on March 26, 2025.",Admissions,"notice, all, hnd, full, time, applicants, 2024, 2025, session, final",2026-06-16
Has the merit list for National Diploma (ND) Full Time for 2024/2025 been released?,"Yes, the release of the 2024/2025 merit list for ND Full Time was announced on March 4, 2025.",Admissions,"has, merit, list, national, diploma, full, time, 2024, 2025, been",2026-06-16
What is the procedure for the 2025 Students Union Election voting?,"The voting procedures for the 2025 Students Union Election were published on February 24, 2025.",Students,"procedure, 2025, students, union, election, voting, procedures, were, published, february",2026-06-16
What is the application information for HND (Full Time) for the 2024/2025 session?,"The application for admission into Higher National Diploma (Full Time) programmes for the 2024/2025 session was announced on February 12, 2025.",Admissions,"application, information, hnd, full, time, 2024, 2025, session, admission, into",2026-06-16
Has the 2024/2025 admission cutoff mark been released?,"Yes, the release of the 2024/2025 admission cutoff mark was announced on February 7, 2025.",Admissions,"has, 2024, 2025, admission, cutoff, mark, been, released, yes, release",2026-06-16
What is the disclaimer about Post-UTME result disqualification?,"A disclaimer regarding Post-UTME result disqualification was posted on January 28, 2025.",Admissions,"disclaimer, about, post, utme, result, disqualification, regarding, was, posted, january",2026-06-16
What partnership was forged with Ecobank?,"Yabatech partnered with Ecobank, as reported on September 2, 2024.",Partnerships,"partnership, was, forged, ecobank, yabatech, partnered, reported, september, 2024, partnerships",2026-06-16
